,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
1647,KO/TKO,4,18:42,L,Shamil Abdurakhimov,0,15 of 37,40%,77 of 106,4 of 11,36%,1,0,7:32,5 of 23,5 of 6,5 of 8,5 of 23,5 of 7,5 of 7,W,Derrick Lewis,0,39 of 90,43%,46 of 97,1 of 3,33%,0,0,1:42,32 of 81,5 of 7,2 of 2,8 of 46,4 of 7,27 of 37
1648,Decision - Split,3,15:00,W,Shamil Abdurakhimov,0,47 of 128,36%,52 of 135,1 of 8,12%,0,0,0:44,21 of 91,6 of 10,20 of 27,39 of 108,7 of 16,1 of 4,L,Walt Harris,0,33 of 98,33%,36 of 101,0 of 0,---,1,0,0:29,21 of 79,7 of 12,5 of 7,24 of 83,9 of 15,0 of 0
1649,Decision - Unanimous,3,15:00,W,Shamil Abdurakhimov,0,62 of 104,59%,89 of 132,0 of 2,0%,0,0,0:04,49 of 84,6 of 9,7 of 11,29 of 61,31 of 41,2 of 2,L,Anthony Hamilton,0,40 of 77,51%,48 of 86,0 of 4,0%,0,0,0:15,19 of 52,16 of 19,5 of 6,16 of 38,24 of 39,0 of 0
1650,KO/TKO,1,4:57,L,Shamil Abdurakhimov,0,9 of 25,36%,11 of 27,0 of 1,0%,0,0,0:31,5 of 19,0 of 1,4 of 5,9 of 22,0 of 3,0 of 0,W,Timothy Johnson,0,22 of 59,37%,33 of 72,1 of 2,50%,0,0,0:57,14 of 44,1 of 6,7 of 9,3 of 29,8 of 12,11 of 18
1651,KO/TKO,2,6:15,L,Walt Harris,0,16 of 58,27%,16 of 58,0 of 1,0%,0,0,0:00,7 of 45,5 of 9,4 of 4,16 of 56,0 of 2,0 of 0,W,Alexander Volkov,0,45 of 73,61%,45 of 73,0 of 0,---,0,0,0:05,32 of 59,11 of 11,2 of 3,42 of 69,3 of 4,0 of 0
1652,KO/TKO,2,8:00,L,Walt Harris,1,25 of 48,52%,25 of 48,0 of 0,---,0,0,0:47,19 of 41,6 of 7,0 of 0,6 of 19,1 of 3,18 of 26,W,Alistair Overeem,1,68 of 85,80%,97 of 115,1 of 1,100%,0,0,4:22,58 of 75,8 of 8,2 of 2,7 of 10,1 of 1,60 of 74
1653,KO/TKO,1,0:12,W,Walt Harris,1,4 of 7,57%,4 of 7,0 of 0,---,0,0,0:01,2 of 5,2 of 2,0 of 0,2 of 5,0 of 0,2 of 2,L,Aleksei Oleinik,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0
1654,KO/TKO,1,0:50,W,Walt Harris,1,17 of 28,60%,17 of 28,0 of 0,---,0,0,0:05,17 of 27,0 of 1,0 of 0,9 of 18,3 of 4,5 of 6,L,Serghei Spivac,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,0 of 2,0 of 0,1 of 1,1 of 3,0 of 0,0 of 0
1655,Overturned,3,15:00,NC,Walt Harris,0,24 of 93,25%,26 of 95,1 of 3,33%,0,0,0:34,13 of 72,11 of 20,0 of 1,21 of 85,3 of 8,0 of 0,NC,Andrei Arlovski,0,44 of 93,47%,48 of 97,0 of 1,0%,0,0,0:09,20 of 60,11 of 17,13 of 16,43 of 90,1 of 3,0 of 0
1656,KO/TKO,2,9:59,W,Walt Harris,1,29 of 79,36%,30 of 80,0 of 0,---,0,0,0:10,19 of 61,6 of 14,4 of 4,18 of 66,2 of 2,9 of 11,L,Daniel Spitz,0,17 of 42,40%,17 of 42,0 of 0,---,0,0,0:00,1 of 17,5 of 13,11 of 12,17 of 42,0 of 0,0 of 0
