,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
929,Submission,2,5:56,W,Michael Chiesa,0,10 of 22,45%,16 of 33,4 of 5,80%,1,0,4:12,8 of 20,2 of 2,0 of 0,2 of 8,2 of 2,6 of 12,L,Carlos Condit,0,5 of 24,20%,20 of 39,0 of 0,---,1,1,0:18,2 of 18,2 of 5,1 of 1,2 of 18,2 of 4,1 of 2
930,Submission,2,5:52,L,Michael Chiesa,0,12 of 26,46%,19 of 35,2 of 6,33%,0,0,2:38,4 of 17,7 of 7,1 of 2,8 of 21,3 of 3,1 of 2,W,Anthony Pettis,0,9 of 22,40%,13 of 26,0 of 0,---,2,0,1:04,3 of 13,4 of 6,2 of 3,7 of 19,1 of 1,1 of 2
931,Submission,1,4:37,L,Michael Chiesa,0,4 of 9,44%,9 of 14,0 of 0,---,0,0,0:08,3 of 8,1 of 1,0 of 0,2 of 7,0 of 0,2 of 2,W,Kevin Lee,0,22 of 30,73%,37 of 45,1 of 1,100%,1,0,3:33,19 of 27,1 of 1,2 of 2,3 of 4,0 of 0,19 of 26
932,Submission,2,6:20,W,Michael Chiesa,0,11 of 52,21%,12 of 53,1 of 2,50%,2,0,1:16,7 of 45,1 of 4,3 of 3,9 of 47,2 of 5,0 of 0,L,Beneil Dariush,0,27 of 53,50%,27 of 53,1 of 4,25%,0,0,1:00,11 of 33,4 of 7,12 of 13,24 of 47,3 of 6,0 of 0
933,Submission,2,7:57,W,Michael Chiesa,0,13 of 30,43%,33 of 55,2 of 2,100%,1,0,4:13,11 of 28,1 of 1,1 of 1,3 of 15,0 of 0,10 of 15,L,Jim Miller,0,7 of 15,46%,19 of 31,0 of 0,---,1,1,2:27,5 of 12,2 of 2,0 of 1,7 of 15,0 of 0,0 of 0
934,Decision - Unanimous,3,15:00,W,Michael Chiesa,0,59 of 128,46%,98 of 173,4 of 7,57%,0,0,5:21,48 of 113,9 of 13,2 of 2,41 of 107,7 of 9,11 of 12,L,Mitch Clarke,0,65 of 120,54%,81 of 141,0 of 4,0%,0,0,2:36,36 of 85,14 of 17,15 of 18,52 of 105,13 of 15,0 of 0
935,TKO - Doctor's Stoppage,2,7:14,L,Michael Chiesa,0,30 of 57,52%,42 of 70,1 of 4,25%,0,0,1:22,14 of 40,10 of 11,6 of 6,19 of 43,11 of 14,0 of 0,W,Joe Lauzon,0,21 of 41,51%,42 of 66,2 of 7,28%,0,1,2:44,17 of 37,4 of 4,0 of 0,10 of 27,4 of 4,7 of 10
936,Decision - Unanimous,3,15:00,W,Michael Chiesa,0,19 of 70,27%,121 of 208,2 of 7,28%,0,0,8:49,14 of 63,4 of 6,1 of 1,10 of 48,1 of 1,8 of 21,L,Francisco Trinaldo,0,13 of 34,38%,23 of 44,0 of 0,---,1,0,0:00,7 of 27,4 of 5,2 of 2,11 of 32,2 of 2,0 of 0
937,Submission,2,6:41,W,Michael Chiesa,0,7 of 19,36%,9 of 21,1 of 2,50%,2,1,1:21,5 of 16,1 of 1,1 of 2,7 of 19,0 of 0,0 of 0,L,Colton Smith,0,4 of 18,22%,13 of 27,2 of 3,66%,1,0,3:11,0 of 9,3 of 5,1 of 4,0 of 13,4 of 5,0 of 0
938,Submission,2,9:59,L,Michael Chiesa,1,24 of 53,45%,35 of 66,2 of 5,40%,0,0,2:42,18 of 46,5 of 6,1 of 1,23 of 51,1 of 1,0 of 1,W,Jorge Masvidal,0,24 of 38,63%,66 of 86,0 of 0,---,2,0,3:12,15 of 29,9 of 9,0 of 0,17 of 31,0 of 0,7 of 7
939,Submission,2,7:29,W,Michael Chiesa,0,5 of 50,10%,9 of 54,1 of 5,20%,2,0,2:08,3 of 46,2 of 4,0 of 0,3 of 46,2 of 4,0 of 0,L,Anton Kuivanen,0,18 of 55,32%,18 of 55,0 of 0,---,0,0,0:51,11 of 42,7 of 13,0 of 0,13 of 50,5 of 5,0 of 0
940,Submission,1,2:47,W,Michael Chiesa,0,9 of 15,60%,9 of 15,1 of 3,33%,1,0,1:05,5 of 11,1 of 1,3 of 3,9 of 15,0 of 0,0 of 0,L,Al Iaquinta,0,8 of 16,50%,8 of 16,0 of 0,---,0,0,0:00,6 of 13,1 of 2,1 of 1,8 of 14,0 of 2,0 of 0
941,Decision - Unanimous,3,15:00,W,Neil Magny,0,62 of 88,70%,116 of 144,4 of 7,57%,0,0,8:14,36 of 61,21 of 22,5 of 5,39 of 63,16 of 18,7 of 7,L,Robbie Lawler,0,26 of 45,57%,41 of 62,0 of 1,0%,0,1,1:33,18 of 36,4 of 5,4 of 4,15 of 33,6 of 6,5 of 6
942,Decision - Unanimous,3,15:00,W,Neil Magny,0,64 of 110,58%,82 of 130,0 of 6,0%,0,0,2:19,30 of 70,17 of 20,17 of 20,48 of 93,16 of 17,0 of 0,L,Anthony Rocco Martin,0,37 of 82,45%,46 of 91,1 of 2,50%,0,0,4:57,26 of 70,4 of 4,7 of 8,34 of 77,3 of 5,0 of 0
943,Decision - Unanimous,3,15:00,W,Neil Magny,0,74 of 139,53%,123 of 188,4 of 7,57%,0,0,5:06,56 of 118,12 of 15,6 of 6,34 of 96,18 of 20,22 of 23,L,Li Jingliang,0,16 of 62,25%,16 of 65,2 of 3,66%,0,0,3:39,11 of 50,1 of 3,4 of 9,13 of 53,3 of 9,0 of 0
944,KO/TKO,4,17:36,L,Neil Magny,0,72 of 251,28%,72 of 251,0 of 2,0%,0,0,0:00,51 of 219,9 of 14,12 of 18,70 of 245,0 of 2,2 of 4,W,Santiago Ponzinibbio,2,79 of 177,44%,81 of 179,0 of 0,---,0,0,0:41,51 of 144,7 of 10,21 of 23,74 of 172,2 of 2,3 of 3
945,KO/TKO,1,4:32,W,Neil Magny,1,18 of 29,62%,40 of 53,0 of 2,0%,0,0,1:57,14 of 22,3 of 6,1 of 1,2 of 9,3 of 3,13 of 17,L,Craig White,0,6 of 17,35%,13 of 28,0 of 2,0%,0,0,1:49,1 of 10,2 of 2,3 of 5,5 of 12,1 of 5,0 of 0
946,Decision - Unanimous,3,15:00,W,Neil Magny,0,32 of 114,28%,64 of 150,6 of 9,66%,0,0,5:09,14 of 83,13 of 21,5 of 10,24 of 102,6 of 9,2 of 3,L,Carlos Condit,0,37 of 112,33%,64 of 140,0 of 0,---,0,0,0:44,10 of 69,10 of 21,17 of 22,32 of 103,5 of 9,0 of 0
947,Submission,1,3:43,L,Neil Magny,0,1 of 5,20%,5 of 9,0 of 0,---,0,0,0:00,0 of 3,1 of 1,0 of 1,1 of 5,0 of 0,0 of 0,W,Rafael Dos Anjos,0,13 of 16,81%,17 of 21,0 of 0,---,1,0,3:20,11 of 14,1 of 1,1 of 1,1 of 1,0 of 0,12 of 15
948,Decision - Unanimous,3,15:00,W,Neil Magny,0,50 of 91,54%,96 of 139,1 of 1,100%,2,0,0:01,27 of 59,16 of 23,7 of 9,31 of 68,1 of 1,18 of 22,L,Johny Hendricks,0,18 of 36,50%,52 of 76,6 of 7,85%,0,0,10:00,10 of 28,1 of 1,7 of 7,9 of 20,1 of 5,8 of 11
949,KO/TKO,1,4:08,L,Neil Magny,0,8 of 23,34%,13 of 29,0 of 5,0%,0,0,0:03,5 of 20,1 of 1,2 of 2,6 of 21,2 of 2,0 of 0,W,Lorenz Larkin,1,32 of 48,66%,34 of 50,0 of 0,---,0,0,0:58,13 of 25,6 of 7,13 of 16,22 of 38,10 of 10,0 of 0
950,KO/TKO,3,10:46,W,Neil Magny,0,148 of 197,75%,196 of 250,1 of 2,50%,2,0,2:19,133 of 181,12 of 13,3 of 3,32 of 69,16 of 16,100 of 112,L,Hector Lombard,2,60 of 79,75%,75 of 95,1 of 3,33%,0,0,4:36,54 of 71,2 of 3,4 of 5,12 of 21,7 of 9,41 of 49
951,Decision - Split,5,25:00,W,Neil Magny,0,54 of 145,37%,81 of 174,6 of 14,42%,0,0,5:34,41 of 121,10 of 15,3 of 9,39 of 122,11 of 18,4 of 5,L,Kelvin Gastelum,2,54 of 134,40%,86 of 167,2 of 3,66%,0,1,7:15,34 of 111,6 of 7,14 of 16,43 of 109,4 of 11,7 of 14
952,Decision - Unanimous,3,15:00,W,Neil Magny,0,68 of 131,51%,132 of 204,4 of 9,44%,0,0,4:05,59 of 121,6 of 7,3 of 3,46 of 101,7 of 11,15 of 19,L,Erick Silva,0,29 of 59,49%,37 of 68,3 of 4,75%,0,0,2:46,10 of 36,5 of 8,14 of 15,27 of 55,2 of 3,0 of 1
953,Submission,2,7:52,L,Neil Magny,0,0 of 4,0%,11 of 16,0 of 0,---,0,0,0:02,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,W,Demian Maia,0,13 of 17,76%,56 of 68,2 of 2,100%,1,0,7:27,13 of 17,0 of 0,0 of 0,0 of 0,0 of 0,13 of 17
954,KO/TKO,2,6:24,W,Neil Magny,0,43 of 75,57%,64 of 102,2 of 4,50%,0,1,3:06,34 of 64,2 of 4,7 of 7,8 of 22,9 of 11,26 of 42,L,Hyun Gyu Lim,0,15 of 36,41%,15 of 36,0 of 0,---,0,0,0:32,12 of 32,2 of 3,1 of 1,7 of 22,8 of 14,0 of 0
955,Submission,3,11:22,W,Neil Magny,0,76 of 112,67%,142 of 181,3 of 4,75%,1,0,5:28,52 of 81,22 of 28,2 of 3,30 of 55,27 of 36,19 of 21,L,Kiichi Kunimoto,0,10 of 28,35%,20 of 40,1 of 4,25%,0,0,3:12,5 of 22,1 of 2,4 of 4,9 of 23,1 of 5,0 of 0
956,KO/TKO,3,12:40,W,Neil Magny,0,65 of 146,44%,114 of 199,2 of 4,50%,0,0,2:50,58 of 135,3 of 5,4 of 6,29 of 90,3 of 5,33 of 51,L,William Macario,0,24 of 77,31%,25 of 78,0 of 1,0%,0,0,0:36,13 of 55,6 of 16,5 of 6,22 of 68,0 of 1,2 of 8
957,Decision - Unanimous,3,15:00,W,Neil Magny,0,39 of 79,49%,130 of 175,3 of 6,50%,0,0,4:00,18 of 56,6 of 7,15 of 16,16 of 51,17 of 18,6 of 10,L,Alex Garcia,0,5 of 39,12%,27 of 68,3 of 7,42%,0,1,6:11,4 of 35,1 of 4,0 of 0,4 of 34,0 of 1,1 of 4
958,KO/TKO,2,7:32,W,Neil Magny,1,30 of 55,54%,31 of 57,2 of 2,100%,0,0,0:38,29 of 54,1 of 1,0 of 0,30 of 55,0 of 0,0 of 0,L,Rodrigo de Lima,0,5 of 14,35%,30 of 41,1 of 3,33%,2,1,3:42,0 of 8,1 of 2,4 of 4,3 of 12,0 of 0,2 of 2
959,Decision - Unanimous,3,15:00,W,Neil Magny,0,29 of 77,37%,52 of 105,4 of 9,44%,0,0,5:19,14 of 52,11 of 18,4 of 7,21 of 64,7 of 11,1 of 2,L,Tim Means,0,30 of 66,45%,53 of 89,3 of 4,75%,1,0,1:00,18 of 46,5 of 13,7 of 7,15 of 46,8 of 10,7 of 10
960,Decision - Unanimous,3,15:00,W,Neil Magny,0,71 of 218,32%,105 of 259,1 of 7,14%,0,0,2:43,47 of 185,12 of 18,12 of 15,56 of 202,15 of 16,0 of 0,L,Gasan Umalatov,0,34 of 76,44%,38 of 80,2 of 8,25%,0,0,2:16,12 of 48,14 of 20,8 of 8,29 of 69,3 of 5,2 of 2
961,Decision - Unanimous,3,15:00,L,Neil Magny,0,31 of 65,47%,104 of 143,2 of 3,66%,0,0,2:21,11 of 41,11 of 11,9 of 13,8 of 31,20 of 27,3 of 7,W,Seth Baczynski,0,28 of 70,40%,46 of 91,3 of 11,27%,0,0,8:25,10 of 46,14 of 19,4 of 5,12 of 38,8 of 14,8 of 18
962,Submission,1,3:13,L,Neil Magny,0,7 of 29,24%,9 of 31,0 of 0,---,0,0,0:21,6 of 27,0 of 1,1 of 1,7 of 29,0 of 0,0 of 0,W,Sergio Moraes,0,13 of 20,65%,13 of 20,1 of 1,100%,1,0,1:06,12 of 19,0 of 0,1 of 1,4 of 9,0 of 0,9 of 11
963,Decision - Unanimous,3,15:00,W,Neil Magny,0,65 of 120,54%,97 of 158,4 of 5,80%,0,1,5:08,42 of 93,15 of 19,8 of 8,33 of 69,22 of 33,10 of 18,L,Jon Manley,0,17 of 85,20%,35 of 112,1 of 13,7%,0,0,5:27,12 of 73,2 of 7,3 of 5,12 of 77,5 of 8,0 of 0
964,KO/TKO,2,9:56,W,Vicente Luque,2,64 of 122,52%,76 of 134,0 of 0,---,0,0,1:06,33 of 88,5 of 6,26 of 28,56 of 111,3 of 3,5 of 8,L,Randy Brown,0,61 of 133,45%,66 of 138,1 of 2,50%,0,0,0:52,35 of 102,13 of 18,13 of 13,53 of 122,8 of 10,0 of 1
965,TKO - Doctor's Stoppage,3,13:37,W,Vicente Luque,1,130 of 237,54%,130 of 237,0 of 0,---,0,0,0:25,85 of 186,8 of 12,37 of 39,126 of 229,1 of 4,3 of 4,L,Niko Price,0,129 of 291,44%,144 of 307,1 of 4,25%,0,0,1:49,81 of 230,15 of 25,33 of 36,116 of 268,9 of 19,4 of 4
966,Decision - Unanimous,3,15:00,L,Vicente Luque,0,77 of 175,44%,77 of 175,0 of 0,---,0,0,0:01,26 of 107,9 of 18,42 of 50,76 of 172,1 of 3,0 of 0,W,Stephen Thompson,1,138 of 242,57%,138 of 242,0 of 0,---,0,0,0:11,111 of 212,21 of 23,6 of 7,126 of 227,3 of 3,9 of 12
967,Decision - Split,3,15:00,W,Vicente Luque,0,84 of 179,46%,85 of 180,0 of 0,---,1,0,0:00,43 of 125,6 of 9,35 of 45,83 of 178,1 of 1,0 of 0,L,Mike Perry,0,87 of 175,49%,116 of 204,0 of 2,0%,0,0,3:20,56 of 135,11 of 17,20 of 23,75 of 157,12 of 18,0 of 0
968,KO/TKO,1,3:52,W,Vicente Luque,1,18 of 25,72%,18 of 25,0 of 0,---,0,0,0:36,14 of 20,1 of 2,3 of 3,10 of 17,1 of 1,7 of 7,L,Derrick Krantz,0,6 of 18,33%,9 of 23,1 of 2,50%,0,0,1:36,5 of 16,1 of 2,0 of 0,5 of 17,0 of 0,1 of 1
969,KO/TKO,3,14:54,W,Vicente Luque,1,163 of 241,67%,164 of 242,0 of 0,---,2,1,0:41,132 of 209,17 of 17,14 of 15,140 of 216,16 of 17,7 of 8,L,Bryan Barberena,1,169 of 355,47%,195 of 382,0 of 1,0%,0,0,0:31,146 of 324,16 of 23,7 of 8,147 of 319,14 of 21,8 of 15
970,KO/TKO,1,3:52,W,Vicente Luque,1,41 of 64,64%,41 of 64,0 of 0,---,0,0,0:04,25 of 48,2 of 2,14 of 14,31 of 51,2 of 4,8 of 9,L,Jalin Turner,0,31 of 58,53%,31 of 58,0 of 0,---,0,0,0:00,25 of 50,5 of 6,1 of 2,31 of 58,0 of 0,0 of 0
971,KO/TKO,1,4:16,W,Vicente Luque,1,14 of 35,40%,14 of 35,0 of 0,---,0,0,0:00,9 of 26,1 of 3,4 of 6,10 of 30,1 of 1,3 of 4,L,Chad Laprise,0,13 of 29,44%,14 of 30,0 of 1,0%,0,0,0:51,6 of 21,3 of 3,4 of 5,9 of 25,4 of 4,0 of 0
972,Submission,2,9:08,W,Vicente Luque,1,61 of 113,53%,61 of 113,0 of 0,---,1,0,0:18,39 of 86,3 of 6,19 of 21,57 of 104,1 of 1,3 of 8,L,Niko Price,0,25 of 99,25%,26 of 100,0 of 1,0%,0,0,0:00,21 of 90,0 of 4,4 of 5,24 of 95,1 of 4,0 of 0
973,Decision - Unanimous,3,15:00,L,Vicente Luque,0,24 of 44,54%,44 of 64,2 of 7,28%,0,0,5:23,13 of 30,7 of 9,4 of 5,21 of 41,2 of 2,1 of 1,W,Leon Edwards,0,53 of 102,51%,77 of 135,3 of 12,25%,0,0,5:12,38 of 81,12 of 17,3 of 4,44 of 86,8 of 12,1 of 4
974,KO/TKO,1,1:19,W,Vicente Luque,1,9 of 21,42%,9 of 21,0 of 0,---,0,0,0:03,5 of 16,2 of 3,2 of 2,5 of 17,0 of 0,4 of 4,L,Belal Muhammad,0,3 of 10,30%,3 of 10,0 of 0,---,0,0,0:00,2 of 8,0 of 0,1 of 2,3 of 10,0 of 0,0 of 0
975,KO/TKO,1,1:00,W,Vicente Luque,1,11 of 22,50%,11 of 22,0 of 0,---,0,0,0:01,11 of 22,0 of 0,0 of 0,8 of 18,3 of 4,0 of 0,L,Hector Urbina,0,5 of 17,29%,5 of 17,0 of 1,0%,0,0,0:16,4 of 15,0 of 1,1 of 1,5 of 17,0 of 0,0 of 0
976,Submission,2,8:52,W,Vicente Luque,0,25 of 54,46%,51 of 87,4 of 5,80%,1,0,5:32,14 of 38,3 of 6,8 of 10,13 of 31,2 of 3,10 of 20,L,Alvaro Herrera Mendoza,0,12 of 26,46%,13 of 27,0 of 0,---,0,0,0:00,8 of 21,3 of 4,1 of 1,9 of 23,3 of 3,0 of 0
977,Submission,1,2:13,W,Vicente Luque,0,12 of 26,46%,12 of 26,0 of 0,---,1,0,0:21,6 of 20,3 of 3,3 of 3,12 of 26,0 of 0,0 of 0,L,Hayder Hassan,0,15 of 28,53%,15 of 28,0 of 1,0%,0,0,0:00,9 of 21,4 of 4,2 of 3,15 of 28,0 of 0,0 of 0
978,Decision - Unanimous,3,15:00,L,Vicente Luque,0,28 of 57,49%,50 of 79,0 of 0,---,1,0,3:28,13 of 35,12 of 18,3 of 4,16 of 40,3 of 4,9 of 13,W,Michael Graves,0,27 of 45,60%,53 of 72,7 of 10,70%,0,1,8:57,22 of 35,3 of 6,2 of 4,12 of 22,7 of 13,8 of 10
979,KO/TKO,1,1:30,W,Geoff Neal,1,15 of 23,65%,15 of 23,0 of 0,---,0,0,0:02,12 of 18,1 of 3,2 of 2,12 of 20,0 of 0,3 of 3,L,Mike Perry,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,1 of 3,2 of 4,2 of 3,5 of 10,0 of 0,0 of 0
980,KO/TKO,2,7:39,W,Geoff Neal,0,41 of 61,67%,53 of 73,2 of 4,50%,0,0,3:37,41 of 60,0 of 1,0 of 0,8 of 18,6 of 8,27 of 35,L,Niko Price,1,24 of 57,42%,42 of 79,0 of 2,0%,0,1,0:54,15 of 41,7 of 14,2 of 2,14 of 39,6 of 8,4 of 10
981,Decision - Unanimous,3,15:00,W,Geoff Neal,2,71 of 190,37%,71 of 190,0 of 0,---,0,0,0:57,61 of 178,8 of 10,2 of 2,55 of 162,11 of 18,5 of 10,L,Belal Muhammad,0,63 of 204,30%,64 of 205,0 of 7,0%,0,0,0:23,39 of 163,18 of 34,6 of 7,59 of 193,4 of 11,0 of 0
982,KO/TKO,2,6:23,W,Geoff Neal,2,59 of 102,57%,62 of 105,0 of 0,---,0,0,0:08,56 of 98,3 of 4,0 of 0,46 of 81,6 of 11,7 of 10,L,Frank Camacho,0,25 of 57,43%,33 of 66,0 of 2,0%,0,0,0:11,12 of 40,10 of 14,3 of 3,23 of 52,2 of 5,0 of 0
983,Submission,1,2:48,W,Geoff Neal,0,14 of 31,45%,15 of 32,0 of 0,---,1,0,1:07,11 of 28,1 of 1,2 of 2,14 of 31,0 of 0,0 of 0,L,Brian Camozzi,0,7 of 29,24%,9 of 32,0 of 0,---,0,0,0:00,3 of 22,2 of 5,2 of 2,7 of 28,0 of 1,0 of 0
984,KO/TKO,1,1:56,W,Geoff Neal,1,13 of 21,61%,16 of 24,0 of 0,---,0,0,--,9 of 17,4 of 4,0 of 0,6 of 11,4 of 4,3 of 6,L,Chase Waldon,0,2 of 7,28%,3 of 8,1 of 3,33%,0,0,--,0 of 4,0 of 0,2 of 3,2 of 7,0 of 0,0 of 0
985,Decision - Unanimous,3,15:00,L,Rafael Dos Anjos,0,14 of 36,38%,23 of 52,0 of 1,0%,0,0,0:41,2 of 23,4 of 4,8 of 9,14 of 36,0 of 0,0 of 0,W,Michael Chiesa,0,9 of 51,17%,54 of 107,6 of 8,75%,0,0,10:13,6 of 45,2 of 5,1 of 1,9 of 49,0 of 1,0 of 1
986,Decision - Unanimous,5,25:00,L,Rafael Dos Anjos,0,81 of 169,47%,129 of 219,0 of 5,0%,0,0,2:23,41 of 115,17 of 25,23 of 29,81 of 168,0 of 1,0 of 0,W,Leon Edwards,0,92 of 215,42%,113 of 244,3 of 10,30%,0,0,7:17,72 of 189,14 of 20,6 of 6,77 of 195,12 of 14,3 of 6
987,Submission,4,18:47,W,Rafael Dos Anjos,0,60 of 111,54%,75 of 126,4 of 7,57%,1,1,3:53,36 of 83,17 of 21,7 of 7,33 of 80,18 of 20,9 of 11,L,Kevin Lee,0,35 of 97,36%,40 of 102,6 of 16,37%,0,0,8:42,23 of 79,10 of 16,2 of 2,27 of 86,7 of 10,1 of 1
988,Decision - Unanimous,5,25:00,L,Rafael Dos Anjos,0,62 of 112,55%,84 of 138,0 of 1,0%,2,1,0:21,27 of 74,19 of 20,16 of 18,35 of 83,22 of 24,5 of 5,W,Kamaru Usman,0,130 of 223,58%,227 of 334,12 of 18,66%,0,0,18:27,95 of 183,29 of 34,6 of 6,48 of 111,33 of 43,49 of 69
989,Decision - Unanimous,5,25:00,L,Rafael Dos Anjos,0,105 of 198,53%,130 of 223,3 of 6,50%,0,0,2:14,54 of 139,37 of 45,14 of 14,70 of 163,32 of 32,3 of 3,W,Colby Covington,0,99 of 296,33%,142 of 346,7 of 18,38%,0,0,12:37,54 of 229,14 of 33,31 of 34,90 of 278,8 of 16,1 of 2
990,Decision - Unanimous,5,25:00,W,Rafael Dos Anjos,0,172 of 291,59%,219 of 343,2 of 7,28%,0,0,7:53,100 of 199,48 of 64,24 of 28,104 of 203,58 of 78,10 of 10,L,Robbie Lawler,0,86 of 212,40%,137 of 267,0 of 0,---,0,0,4:24,53 of 171,32 of 40,1 of 1,48 of 159,38 of 53,0 of 0
991,Submission,1,3:43,W,Rafael Dos Anjos,0,13 of 16,81%,17 of 21,0 of 0,---,1,0,3:20,11 of 14,1 of 1,1 of 1,1 of 1,0 of 0,12 of 15,L,Neil Magny,0,1 of 5,20%,5 of 9,0 of 0,---,0,0,0:00,0 of 3,1 of 1,0 of 1,1 of 5,0 of 0,0 of 0
992,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,81 of 158,51%,91 of 169,1 of 5,20%,1,0,3:29,35 of 99,37 of 49,9 of 10,56 of 125,20 of 26,5 of 7,L,Tarec Saffiedine,0,60 of 139,43%,71 of 151,1 of 1,100%,0,0,3:41,34 of 112,14 of 15,12 of 12,44 of 119,16 of 20,0 of 0
993,Decision - Unanimous,5,25:00,L,Rafael Dos Anjos,0,121 of 276,43%,126 of 281,0 of 5,0%,0,0,0:30,84 of 223,18 of 33,19 of 20,119 of 271,1 of 1,1 of 4,W,Tony Ferguson,0,199 of 401,49%,200 of 402,0 of 2,0%,0,0,0:00,126 of 312,28 of 42,45 of 47,196 of 397,3 of 4,0 of 0
994,KO/TKO,1,3:49,L,Rafael Dos Anjos,0,12 of 41,29%,12 of 41,0 of 1,0%,0,0,0:22,9 of 38,2 of 2,1 of 1,10 of 38,2 of 3,0 of 0,W,Eddie Alvarez,0,45 of 78,57%,49 of 83,1 of 3,33%,0,0,0:20,34 of 67,8 of 8,3 of 3,20 of 45,22 of 30,3 of 3
995,KO/TKO,1,1:06,W,Rafael Dos Anjos,0,26 of 44,59%,26 of 44,0 of 0,---,0,0,0:09,21 of 39,4 of 4,1 of 1,19 of 31,1 of 2,6 of 11,L,Donald Cerrone,0,4 of 7,57%,4 of 7,0 of 1,0%,0,0,0:00,2 of 5,1 of 1,1 of 1,4 of 7,0 of 0,0 of 0
996,Decision - Unanimous,5,25:00,W,Rafael Dos Anjos,0,90 of 171,52%,144 of 233,9 of 10,90%,0,0,14:42,44 of 113,27 of 37,19 of 21,58 of 124,11 of 17,21 of 30,L,Anthony Pettis,0,54 of 162,33%,96 of 205,0 of 1,0%,0,0,0:52,38 of 141,11 of 16,5 of 5,53 of 158,1 of 3,0 of 1
997,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,77 of 119,64%,129 of 175,2 of 2,100%,0,0,7:48,46 of 81,5 of 9,26 of 29,37 of 66,1 of 2,39 of 51,L,Nate Diaz,0,13 of 104,12%,51 of 145,0 of 0,---,0,0,0:00,12 of 98,1 of 5,0 of 1,12 of 103,1 of 1,0 of 0
998,KO/TKO,1,2:31,W,Rafael Dos Anjos,1,18 of 30,60%,18 of 30,0 of 0,---,0,0,0:02,11 of 22,4 of 5,3 of 3,15 of 25,2 of 2,1 of 3,L,Benson Henderson,0,10 of 27,37%,10 of 27,0 of 1,0%,0,0,0:02,3 of 18,4 of 6,3 of 3,10 of 27,0 of 0,0 of 0
999,KO/TKO,2,8:36,W,Rafael Dos Anjos,1,36 of 68,52%,53 of 85,2 of 2,100%,3,0,1:52,24 of 52,11 of 15,1 of 1,25 of 55,2 of 3,9 of 10,L,Jason High,0,24 of 64,37%,26 of 67,3 of 3,100%,0,0,2:54,21 of 56,2 of 7,1 of 1,18 of 57,4 of 4,2 of 3
1000,Decision - Unanimous,3,15:00,L,Rafael Dos Anjos,0,20 of 56,35%,40 of 76,0 of 1,0%,0,0,0:13,11 of 39,7 of 14,2 of 3,18 of 52,1 of 3,1 of 1,W,Khabib Nurmagomedov,0,36 of 97,37%,72 of 135,6 of 12,50%,0,0,9:47,24 of 83,6 of 8,6 of 6,14 of 72,4 of 4,18 of 21
1001,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,1,39 of 109,35%,58 of 128,2 of 6,33%,0,0,3:50,21 of 78,14 of 25,4 of 6,30 of 91,1 of 1,8 of 17,L,Donald Cerrone,0,40 of 80,50%,43 of 83,1 of 1,100%,0,0,1:00,9 of 34,21 of 34,10 of 12,37 of 77,3 of 3,0 of 0
1002,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,66 of 183,36%,86 of 204,0 of 2,0%,0,0,0:42,35 of 137,15 of 26,16 of 20,56 of 167,10 of 16,0 of 0,L,Evan Dunham,0,68 of 270,25%,90 of 295,3 of 7,42%,0,0,2:40,60 of 253,5 of 13,3 of 4,55 of 247,11 of 19,2 of 4
1003,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,54 of 134,40%,90 of 172,4 of 5,80%,0,0,4:09,33 of 103,14 of 21,7 of 10,26 of 90,20 of 30,8 of 14,L,Mark Bocek,0,19 of 59,32%,33 of 73,0 of 11,0%,1,0,3:42,4 of 38,3 of 6,12 of 15,12 of 47,7 of 12,0 of 0
1004,Decision - Unanimous,3,15:00,W,Rafael Dos Anjos,0,51 of 85,60%,68 of 108,6 of 17,35%,0,0,6:45,19 of 48,0 of 0,32 of 37,25 of 53,21 of 26,5 of 6,L,Anthony Njokuani,0,32 of 87,36%,37 of 92,0 of 0,---,0,0,0:00,13 of 55,14 of 24,5 of 8,31 of 85,1 of 2,0 of 0
1005,Submission,1,1:40,W,Rafael Dos Anjos,1,5 of 10,50%,11 of 17,0 of 0,---,1,0,0:35,4 of 9,1 of 1,0 of 0,2 of 6,0 of 0,3 of 4,L,Kamal Shalorus,0,2 of 12,16%,2 of 12,0 of 1,0%,0,0,0:00,1 of 11,1 of 1,0 of 0,1 of 11,1 of 1,0 of 0
